suburb,postcode,suburb_postcode,state_long,zone
Wave Hill,0852,WAVE HILL 0852,Northern Territory,Remote
Wilton,0852,WILTON 0852,Northern Territory,Remote
Yarralin,0852,YARRALIN 0852,Northern Territory,Remote
Tindal,0853,TINDAL 0853,Northern Territory,Remote
Tindal Raaf,0853,TINDAL RAAF 0853,Northern Territory,Remote
Borroloola,0854,BORROLOOLA 0854,Northern Territory,Remote
King Ash Bay,0854,KING ASH BAY 0854,Northern Territory,Remote
Tennant Creek,0860,TENNANT CREEK 0860,Northern Territory,Remote
Calvert,0862,CALVERT 0862,Northern Territory,Remote
Elliott,0862,ELLIOTT 0862,Northern Territory,Remote
Newcastle Waters,0862,NEWCASTLE WATERS 0862,Northern Territory,Remote
Nicholson,0862,NICHOLSON 0862,Northern Territory,Remote
Pamayu,0862,PAMAYU 0862,Northern Territory,Remote
Renner Springs,0862,RENNER SPRINGS 0862,Northern Territory,Remote
Tablelands,0862,TABLELANDS 0862,Northern Territory,Remote
Tennant Creek,0862,TENNANT CREEK 0862,Northern Territory,Remote
Warrego,0862,WARREGO 0862,Northern Territory,Remote
Alice Springs,0870,ALICE SPRINGS 0870,Northern Territory,Remote
Araluen,0870,ARALUEN 0870,Northern Territory,Remote
Arumbera,0870,ARUMBERA 0870,Northern Territory,Remote
Braitling,0870,BRAITLING 0870,Northern Territory,Remote
Ciccone,0870,CICCONE 0870,Northern Territory,Remote
Connellan,0870,CONNELLAN 0870,Northern Territory,Remote
Desert Springs,0870,DESERT SPRINGS 0870,Northern Territory,Remote
East Side,0870,EAST SIDE 0870,Northern Territory,Remote
Flynn,0870,FLYNN 0870,Northern Territory,Remote
Gillen,0870,GILLEN 0870,Northern Territory,Remote
Ilparpa,0870,ILPARPA 0870,Northern Territory,Remote
Irlpme,0870,IRLPME 0870,Northern Territory,Remote
Mount Johns,0870,MOUNT JOHNS 0870,Northern Territory,Remote
Ross,0870,ROSS 0870,Northern Territory,Remote
Sadadeen,0870,SADADEEN 0870,Northern Territory,Remote
Stuart,0870,STUART 0870,Northern Territory,Remote
The Gap,0870,THE GAP 0870,Northern Territory,Remote
Undoolya,0870,UNDOOLYA 0870,Northern Territory,Remote
White Gums,0870,WHITE GUMS 0870,Northern Territory,Remote
